date,wai_qoq,wai_qoq_lo,wai_qoq_hi,wai_yoy,wai_index,gdp_qoq,gdp_yoy,gdp_index
1991-01-21,3.0225,1.9344,4.1105,2.2066,63.7892,,,
1991-01-28,2.1392,1.0493,3.229,2.1865,63.8174,,,
1991-02-07,2.2394,1.1443,3.3345,2.166,63.8468,,,
1991-02-14,2.8176,1.7071,3.9281,2.1723,63.8838,,,
1991-02-21,2.8168,1.7334,3.9002,2.1737,63.9208,,,
1991-02-28,2.4023,1.2835,3.5211,2.1785,63.9524,,,
1991-03-07,3.1253,2.0294,4.2211,2.2117,63.9935,,,
1991-03-14,4.3972,3.2731,5.5214,2.2598,64.0509,,,
1991-03-21,3.0329,1.8993,4.1664,2.2932,64.0908,,,
1991-03-28,3.7993,2.6816,4.917,2.3358,64.1406,4.0201,2.2529,63.5083
1991-04-07,3.3536,2.268,4.4392,2.377,64.1847,,,
1991-04-14,3.7863,2.7097,4.863,2.4072,64.2344,,,
1991-04-21,2.5953,1.4707,3.72,2.4046,64.2687,,,
1991-04-28,2.4759,1.3675,3.5843,2.4054,64.3015,,,
1991-05-07,1.991,0.8892,3.0928,2.387,64.3279,,,
1991-05-14,1.848,0.7152,2.9809,2.3624,64.3525,,,
1991-05-21,1.4048,0.3277,2.4819,2.3439,64.3712,,,
1991-05-28,1.8339,0.7367,2.931,2.336,64.3956,,,
1991-06-07,2.6481,1.5593,3.737,2.3546,64.4306,,,
1991-06-14,2.372,1.2352,3.5087,2.3592,64.4621,,,
1991-06-21,2.2885,1.2115,3.3655,2.3679,64.4925,,,
1991-06-28,1.7304,0.607,2.8539,2.3647,64.5156,2.2414,2.7906,64.1372
1991-07-07,2.4285,1.2876,3.5694,2.3875,64.5479,,,
1991-07-14,2.7587,1.6648,3.8527,2.4234,64.5845,,,
1991-07-21,1.8566,0.7411,2.9722,2.4326,64.6092,,,
1991-07-28,2.7884,1.6827,3.894,2.4679,64.6463,,,
1991-08-07,2.0912,0.9785,3.2039,2.4842,64.6742,,,
1991-08-14,1.5805,0.4966,2.6644,2.4824,64.6953,,,
1991-08-21,0.9273,-0.1819,2.0364,2.4649,64.7077,,,
1991-08-28,0.5413,-0.5955,1.6781,2.4388,64.715,,,
1991-09-07,0.6863,-0.429,1.8017,2.4319,64.7242,,,
1991-09-14,1.2863,0.1728,2.3998,2.434,64.7415,,,
1991-09-21,1.0908,-0.01,2.1916,2.4467,64.7561,,,
1991-09-28,1.2088,0.0963,2.3212,2.4395,64.7723,1.4566,2.8184,64.4936
1991-10-07,1.2569,0.1589,2.355,2.4401,64.7892,,,
1991-10-14,2.092,0.9982,3.1858,2.4503,64.8172,,,
1991-10-21,3.3884,2.3015,4.4753,2.4766,64.8622,,,
1991-10-28,2.6017,1.4988,3.7046,2.4838,64.8969,,,
1991-11-07,3.59,2.4862,4.6938,2.4936,64.9446,,,
1991-11-14,4.5215,3.3824,5.6607,2.5332,65.0045,,,
1991-11-21,4.2375,3.1316,5.3434,2.5608,65.0608,,,
1991-11-28,4.3678,3.2932,5.4425,2.6022,65.1188,,,
1991-12-07,3.0225,1.937,4.1081,2.5897,65.1592,,,
1991-12-14,3.1311,2.0168,4.2454,2.5744,65.2011,,,
1991-12-21,2.6606,1.5479,3.7734,2.5568,65.2368,,,
1991-12-28,2.4809,1.3618,3.6001,2.5289,65.2701,2.2602,2.7472,64.7272
1992-01-07,2.7261,1.646,3.8062,2.5227,65.3067,,,
1992-01-14,3.1899,2.1148,4.2649,2.5095,65.3494,,,
1992-01-21,2.9745,1.8592,4.0899,2.5085,65.3894,,,
1992-01-28,4.273,3.1599,5.3861,2.5527,65.4464,,,
1992-02-07,4.2088,3.1018,5.3157,2.5935,65.5027,,,
1992-02-14,3.7194,2.6378,4.8011,2.6121,65.5525,,,
1992-02-21,3.6711,2.5405,4.8016,2.6298,65.6018,,,
1992-02-28,3.3323,2.2475,4.417,2.6492,65.6466,,,
1992-03-07,2.5072,1.3983,3.6161,2.6363,65.6805,,,
1992-03-14,2.708,1.5731,3.8429,2.6014,65.7171,,,
1992-03-21,3.1172,1.9945,4.2399,2.6032,65.7592,,,
1992-03-28,3.1407,2.0588,4.2226,2.5896,65.8016,3.052,2.4903,65.0899
1992-04-07,3.1534,2.0156,4.2912,2.5854,65.8441,,,
1992-04-14,3.0457,1.9294,4.1619,2.5701,65.8853,,,
1992-04-21,3.3371,2.2195,4.4547,2.5855,65.9304,,,
1992-04-28,2.4039,1.3179,3.4899,2.584,65.9631,,,
1992-05-07,2.9818,1.8521,4.1116,2.6047,66.0035,,,
1992-05-14,2.319,1.2345,3.4035,2.6145,66.035,,,
1992-05-21,2.4602,1.3608,3.5597,2.6367,66.0685,,,
1992-05-28,2.8191,1.7151,3.9232,2.6573,66.1067,,,
1992-06-07,2.8179,1.7236,3.9123,2.6608,66.145,,,
1992-06-14,1.8295,0.7499,2.9091,2.6495,66.17,,,
1992-06-21,1.8914,0.7905,2.9922,2.6411,66.1959,,,
1992-06-28,2.1139,0.9813,3.2466,2.6492,66.2247,1.9979,2.251,65.5809
1992-07-07,2.6579,1.5718,3.7439,2.654,66.2609,,,
1992-07-14,2.8363,1.7207,3.952,2.6556,66.2996,,,
1992-07-21,3.0264,1.9128,4.1399,2.68,66.3408,,,
1992-07-28,3.495,2.3568,4.6333,2.6947,66.3883,,,
1992-08-07,2.8635,1.7479,3.9791,2.7108,66.4274,,,
1992-08-14,2.3965,1.2988,3.4942,2.7279,66.4602,,,
1992-08-21,2.3511,1.2663,3.4359,2.7579,66.4923,,,
1992-08-28,2.507,1.3965,3.6175,2.7994,66.5267,,,
1992-09-07,3.2235,2.1162,4.3308,2.8527,66.5707,,,
1992-09-14,2.5645,1.4781,3.6508,2.8796,66.6058,,,
1992-09-21,2.0216,0.9022,3.141,2.8993,66.6336,,,
1992-09-28,2.4854,1.3725,3.5983,2.9262,66.6677,2.4878,2.1901,65.9061
1992-10-07,2.2212,1.128,3.3145,2.9465,66.6982,,,
1992-10-14,2.1099,1.0243,3.1955,2.9469,66.7272,,,
1992-10-21,2.4724,1.3883,3.5564,2.9278,66.7612,,,
1992-10-28,2.1013,0.974,3.2286,2.9173,66.7901,,,
1992-11-07,1.7393,0.6274,2.8511,2.8786,66.8141,,,
1992-11-14,1.7022,0.5947,2.8096,2.82,66.8376,,,
1992-11-21,1.6002,0.5204,2.6799,2.7651,66.8598,,,
1992-11-28,1.3572,0.228,2.4864,2.7024,66.8785,,,
1992-12-07,2.02,0.8844,3.1557,2.6815,66.9064,,,
1992-12-14,1.82,0.7337,2.9064,2.6541,66.9316,,,
1992-12-21,1.9609,0.8556,3.0662,2.6395,66.9587,,,
1992-12-28,2.1169,1.0158,3.2179,2.6318,66.9879,1.1538,2.4487,66.3122
1993-01-07,1.1497,0.0652,2.2343,2.5988,67.0038,,,
1993-01-14,1.5721,0.4502,2.694,2.565,67.0256,,,
1993-01-21,2.5565,1.4599,3.6531,2.5563,67.0609,,,
1993-01-28,2.5328,1.456,3.6095,2.5203,67.0959,,,
1993-02-07,2.097,0.9697,3.2243,2.4766,67.1249,,,
1993-02-14,2.8896,1.7559,4.0233,2.4594,67.1647,,,
1993-02-21,2.964,1.8633,4.0648,2.4448,67.2056,,,
1993-02-28,3.4418,2.3106,4.5729,2.4471,67.253,,,
1993-03-07,3.3966,2.2905,4.5027,2.4655,67.2999,,,
1993-03-14,3.5804,2.452,4.7088,2.4836,67.3492,,,
1993-03-21,4.191,3.0667,5.3154,2.5057,67.4069,,,
1993-03-28,4.2603,3.1341,5.3865,2.5288,67.4655,3.8425,2.1705,66.5027
1993-04-07,4.1633,3.0323,5.2943,2.5496,67.5229,,,
1993-04-14,3.508,2.4049,4.6111,2.5592,67.5715,,,
1993-04-21,3.6624,2.5648,4.7601,2.5659,67.6221,,,
1993-04-28,3.2434,2.1096,4.3772,2.5834,67.6671,,,
1993-05-07,4.3281,3.2058,5.4505,2.6111,67.7269,,,
1993-05-14,4.208,3.1261,5.2898,2.6503,67.7851,,,
1993-05-21,3.4829,2.3753,4.5906,2.6715,67.8335,,,
1993-05-28,4.2306,3.0922,5.369,2.7007,67.8921,,,
1993-06-07,3.6888,2.574,4.8036,2.7188,67.9434,,,
1993-06-14,2.6254,1.5325,3.7183,2.7355,67.9801,,,
1993-06-21,2.0515,0.9343,3.1686,2.7388,68.0089,,,
1993-06-28,2.1786,1.0621,3.2952,2.7402,68.0394,2.1554,2.3659,67.1325
1993-07-07,2.0222,0.9007,3.1438,2.7269,68.0678,,,
1993-07-14,2.3836,1.308,3.4591,2.7174,68.1012,,,
1993-07-21,2.301,1.1865,3.4155,2.7023,68.1335,,,
1993-07-28,1.3375,0.2172,2.4577,2.6572,68.1524,,,
1993-08-07,1.4085,0.3101,2.5069,2.6267,68.1722,,,
1993-08-14,2.5969,1.474,3.7199,2.6309,68.2087,,,
1993-08-21,2.3548,1.2369,3.4726,2.631,68.2418,,,
1993-08-28,2.0743,0.9585,3.1902,2.622,68.271,,,
1993-09-07,2.1002,0.9863,3.2142,2.5985,68.3005,,,
1993-09-14,3.0951,1.9835,4.2066,2.6096,68.3439,,,
1993-09-21,2.5203,1.4008,3.6399,2.62,68.3794,,,
1993-09-28,2.9554,1.8711,4.0396,2.6298,68.4209,3.5682,2.4054,67.4914
1993-10-07,2.5426,1.442,3.6431,2.6365,68.4567,,,
1993-10-14,2.3588,1.2514,3.4662,2.6417,68.49,,,
1993-10-21,2.19,1.0732,3.3067,2.6358,68.5209,,,
1993-10-28,2.6733,1.5669,3.7796,2.6478,68.5586,,,
1993-11-07,2.9715,1.8712,4.0717,2.6735,68.6004,,,
1993-11-14,3.4696,2.3715,4.5676,2.7104,68.6492,,,
1993-11-21,3.8684,2.7537,4.9831,2.7577,68.7035,,,
1993-11-28,4.7943,3.719,5.8697,2.8292,68.7706,,,
1993-12-07,4.3992,3.3117,5.4867,2.8786,68.8324,,,
1993-12-14,2.6378,1.5457,3.7298,2.8957,68.8697,,,
1993-12-21,2.2855,1.1446,3.4264,2.9026,68.9022,,,
1993-12-28,1.8628,0.7293,2.9962,2.8972,68.9287,1.7362,2.6742,68.0855
1994-01-07,1.7752,0.6623,2.8881,2.9104,68.9539,,,
1994-01-14,2.4943,1.3778,3.6109,2.9298,68.9894,,,
1994-01-21,2.1326,1.0267,3.2384,2.9209,69.0197,,,
1994-01-28,1.7001,0.5965,2.8037,2.9034,69.0439,,,
1994-02-07,2.054,0.9729,3.1351,2.9025,69.0732,,,
1994-02-14,2.4528,1.3588,3.5469,2.8934,69.1081,,,
1994-02-21,2.2548,1.1484,3.3612,2.8786,69.1402,,,
1994-02-28,2.4469,1.3251,3.5686,2.8579,69.1751,,,
1994-03-07,2.6452,1.5306,3.7598,2.8422,69.2127,,,
1994-03-14,2.7297,1.5946,3.8647,2.8246,69.2516,,,
1994-03-21,2.2763,1.16,3.3927,2.7848,69.284,,,
1994-03-28,2.6181,1.5116,3.7246,2.7508,69.3214,1.6326,2.8217,68.3792
1994-04-07,1.2377,0.1313,2.3441,2.6898,69.3391,,,
1994-04-14,1.6841,0.6088,2.7595,2.6517,69.3633,,,
1994-04-21,1.9275,0.8223,3.0327,2.6156,69.3909,,,
1994-04-28,3.0263,1.9411,4.1115,2.6111,69.434,,,
1994-05-07,2.9366,1.8168,4.0564,2.5824,69.4759,,,
1994-05-14,2.7717,1.6483,3.8951,2.5527,69.5155,,,
1994-05-21,3.2261,2.0962,4.356,2.5474,69.5615,,,
1994-05-28,3.3369,2.2572,4.4167,2.529,69.6091,,,
1994-06-07,3.0146,1.9226,4.1066,2.5151,69.6522,,,
1994-06-14,2.7336,1.6504,3.8167,2.5173,69.6914,,,
1994-06-21,2.5834,1.4804,3.6865,2.5284,69.7284,,,
1994-06-28,1.788,0.6574,2.9186,2.5202,69.7542,2.534,2.2702,68.6566
1994-07-07,2.3966,1.3117,3.4816,2.5281,69.7886,,,
1994-07-14,1.9113,0.8223,3.0003,2.5182,69.8161,,,
1994-07-21,1.6398,0.5438,2.7357,2.5043,69.8398,,,
1994-07-28,1.9509,0.8563,3.0456,2.5172,69.8679,,,
1994-08-07,1.6005,0.5183,2.6827,2.5213,69.891,,,
1994-08-14,1.4682,0.3814,2.5551,2.4976,69.9123,,,
1994-08-21,2.2504,1.1588,3.3419,2.4955,69.9447,,,
1994-08-28,1.6939,0.6073,2.7806,2.4875,69.9692,,,
1994-09-07,1.4546,0.3215,2.5876,2.4739,69.9902,,,
1994-09-14,2.2013,1.1195,3.2831,2.4553,70.022,,,
1994-09-21,1.7923,0.6621,2.9226,2.4401,70.0479,,,
1994-09-28,1.3336,0.2362,2.431,2.4062,70.0673,0.6905,2.3648,69.0874
1994-10-07,1.3965,0.3012,2.4919,2.3822,70.0875,,,
1994-10-14,1.6367,0.5478,2.7256,2.3671,70.1112,,,
1994-10-21,1.1307,0.0158,2.2455,2.3449,70.1277,,,
1994-10-28,0.9916,-0.1447,2.128,2.3097,70.1421,,,
1994-11-07,0.879,-0.2359,1.9939,2.2659,70.1549,,,
1994-11-14,0.3175,-0.7622,1.3972,2.2,70.1595,,,
1994-11-21,0.3917,-0.75,1.5334,2.1275,70.1652,,,
1994-11-28,1.3662,0.2536,2.4787,2.0567,70.1851,,,
1994-12-07,1.7159,0.6349,2.7969,2.0013,70.2099,,,
1994-12-14,1.108,0.0264,2.1896,1.9694,70.2261,,,
1994-12-21,1.1987,0.0981,2.2994,1.9467,70.2435,,,
1994-12-28,0.9379,-0.1583,2.0342,1.9273,70.2572,0.5337,1.6462,69.2064
1995-01-07,0.7646,-0.3508,1.88,1.9062,70.2683,,,
1995-01-14,1.187,0.0607,2.3133,1.8789,70.2856,,,
1995-01-21,1.3817,0.2927,2.4707,1.8632,70.3057,,,
1995-01-28,1.7132,0.6111,2.8153,1.8635,70.3306,,,
1995-02-07,1.7222,0.6144,2.83,1.8566,70.3556,,,
1995-02-14,1.0326,-0.046,2.1111,1.827,70.3707,,,
1995-02-21,0.63,-0.4554,1.7153,1.793,70.3799,,,
1995-02-28,-0.098,-1.1897,0.9937,1.7396,70.3784,,,
1995-03-07,0.3092,-0.7945,1.4129,1.6908,70.383,,,
1995-03-14,1.0464,-0.0597,2.1524,1.6558,70.3982,,,
1995-03-21,0.008,-1.1239,1.1399,1.6083,70.3984,,,
1995-03-28,0.0887,-1.0504,1.2278,1.5555,70.3997,0.3626,1.3445,69.2985
1995-04-07,0.39,-0.7186,1.4986,1.5377,70.4054,,,
1995-04-14,0.2319,-0.8912,1.355,1.5073,70.4088,,,
1995-04-21,-0.234,-1.3448,0.8767,1.4619,70.4053,,,
1995-04-28,-0.7216,-1.8209,0.3777,1.3836,70.3947,,,
1995-05-07,0.1391,-0.9672,1.2454,1.3254,70.3967,,,
1995-05-14,0.0213,-1.1176,1.1601,1.2682,70.3971,,,
1995-05-21,0.6914,-0.3943,1.777,1.2157,70.4072,,,
1995-05-28,0.23,-0.8947,1.3547,1.1513,70.4105,,,
1995-06-07,0.9164,-0.1579,1.9907,1.108,70.4239,,,
1995-06-14,1.0667,-0.0675,2.2009,1.0735,70.4395,,,
1995-06-21,0.9069,-0.211,2.0248,1.0388,70.4527,,,
1995-06-28,1.4015,0.2656,2.5374,1.0308,70.4732,0.5209,1.0264,69.3613
1995-07-07,0.9646,-0.1211,2.0502,1.0011,70.4873,,,
1995-07-14,0.6086,-0.5115,1.7286,0.974,70.4962,,,
1995-07-21,0.513,-0.5608,1.5869,0.9506,70.5037,,,
1995-07-28,0.3836,-0.6997,1.467,0.918,70.5093,,,
1995-08-07,0.2517,-0.8518,1.3552,0.8899,70.513,,,
1995-08-14,0.1255,-0.9776,1.2285,0.8619,70.5149,,,
1995-08-21,-0.3483,-1.4319,0.7353,0.8078,70.5097,,,
1995-08-28,0.2635,-0.8678,1.3947,0.7781,70.5136,,,
1995-09-07,-0.2219,-1.3311,0.8873,0.7431,70.5103,,,
1995-09-14,-0.5745,-1.6589,0.5099,0.6853,70.5019,,,
1995-09-21,-0.9206,-2.0199,0.1788,0.6286,70.4883,,,
1995-09-28,0.1868,-0.8942,1.2677,0.6048,70.491,-0.0871,0.5269,69.4514
1995-10-07,0.4909,-0.6207,1.6025,0.586,70.4982,,,
1995-10-14,0.7672,-0.3506,1.8849,0.568,70.5094,,,
1995-10-21,-0.4179,-1.5499,0.7141,0.5356,70.5033,,,
1995-10-28,-0.5126,-1.6261,0.601,0.5042,70.4957,,,
1995-11-07,0.2585,-0.8262,1.3433,0.4913,70.4995,,,
1995-11-14,1.0214,-0.0688,2.1117,0.5059,70.5145,,,
1995-11-21,-0.2205,-1.3467,0.9057,0.4931,70.5112,,,
1995-11-28,-1.4141,-2.5253,-0.3029,0.4349,70.4903,,,
1995-12-07,-1.8572,-2.9622,-0.7521,0.3601,70.4628,,,
1995-12-14,-2.2194,-3.3536,-1.0853,0.2902,70.4299,,,
1995-12-21,-1.3521,-2.4443,-0.2598,0.2369,70.4099,,,
1995-12-28,-0.7925,-1.9044,0.3194,0.2008,70.3982,-0.3905,0.3322,69.4363
1996-01-07,0.3973,-0.6943,1.4889,0.1931,70.404,,,
1996-01-14,0.507,-0.5863,1.6002,0.1791,70.4115,,,
1996-01-21,0.3042,-0.7907,1.399,0.1568,70.4159,,,
1996-01-28,1.2185,0.107,2.33,0.1466,70.4337,,,
1996-02-07,1.5121,0.4197,2.6045,0.1423,70.4557,,,
1996-02-14,1.7178,0.6093,2.8264,0.1564,70.4807,,,
1996-02-21,2.0931,1.0128,3.1734,0.1865,70.5111,,,
1996-02-28,1.6977,0.5862,2.8092,0.2237,70.5359,,,
1996-03-07,1.6956,0.6023,2.7889,0.2524,70.5606,,,
1996-03-14,2.0943,0.9852,3.2034,0.2739,70.5911,,,
1996-03-21,0.7558,-0.3654,1.8771,0.2895,70.6022,,,
1996-03-28,0.745,-0.3726,1.8626,0.3032,70.6131,0.3587,0.1008,69.3684
1996-04-07,0.253,-0.8465,1.3524,0.3003,70.6168,,,
1996-04-14,-0.1626,-1.2918,0.9666,0.2921,70.6144,,,
1996-04-21,-0.4303,-1.5197,0.659,0.288,70.6081,,,
1996-04-28,-0.0199,-1.1123,1.0725,0.3027,70.6078,,,
1996-05-07,0.1127,-1.0081,1.2334,0.3021,70.6094,,,
1996-05-14,-0.3798,-1.4687,0.7091,0.2937,70.6038,,,
1996-05-21,0.1583,-0.9282,1.2448,0.2826,70.6062,,,
1996-05-28,0.5484,-0.5838,1.6806,0.2893,70.6142,,,
1996-06-07,0.8656,-0.2248,1.9561,0.2882,70.6269,,,
1996-06-14,1.068,-0.0591,2.195,0.2882,70.6425,,,
1996-06-21,1.7088,0.5933,2.8243,0.3048,70.6675,,,
1996-06-28,1.1982,0.0855,2.3109,0.3006,70.685,-0.1761,0.0999,69.4305
1996-07-07,0.8242,-0.2708,1.9191,0.2977,70.6971,,,
1996-07-14,1.2553,0.1555,2.355,0.3111,70.7155,,,
1996-07-21,1.5386,0.4275,2.6497,0.3323,70.738,,,
1996-07-28,2.0534,0.9374,3.1694,0.3668,70.7679,,,
1996-08-07,1.8627,0.78,2.9453,0.4001,70.7952,,,
1996-08-14,2.0487,0.9656,3.1318,0.4399,70.8251,,,
1996-08-21,2.4895,1.3973,3.5816,0.4987,70.8614,,,
1996-08-28,1.8481,0.7339,2.9622,0.5316,70.8884,,,
1996-09-07,2.6823,1.5505,3.8142,0.5917,70.9275,,,
1996-09-14,1.9983,0.9171,3.0795,0.6453,70.9568,,,
1996-09-21,0.9427,-0.1622,2.0477,0.6843,70.9707,,,
1996-09-28,0.9103,-0.2129,2.0334,0.6994,70.9841,0.5457,-0.0741,69.3999
1996-10-07,1.0665,-0.0626,2.1955,0.7114,70.9998,,,
1996-10-14,0.7087,-0.4173,1.8347,0.7102,71.0102,,,
1996-10-21,0.2341,-0.8501,1.3183,0.7239,71.0137,,,
1996-10-28,0.0366,-1.0637,1.1369,0.7354,71.0142,,,
1996-11-07,0.8627,-0.2227,1.9481,0.7481,71.0269,,,
1996-11-14,-0.2307,-1.3475,0.8861,0.7219,71.0235,,,
1996-11-21,-1.1205,-2.2271,-0.0138,0.7029,71.0068,,,
1996-11-28,-1.4089,-2.5053,-0.3126,0.703,70.9858,,,
1996-12-07,-0.3446,-1.4746,0.7853,0.7351,70.9807,,,
1996-12-14,0.4317,-0.6675,1.5308,0.7912,70.9871,,,
1996-12-21,0.1134,-0.9738,1.2007,0.8222,70.9888,,,
1996-12-28,0.3421,-0.7767,1.4609,0.8461,70.9938,0.7042,0.0837,69.4944
1997-01-07,0.8474,-0.2465,1.9414,0.8555,71.0063,,,
1997-01-14,1.1862,0.0478,2.3246,0.8696,71.0238,,,
1997-01-21,1.4899,0.361,2.6188,0.8943,71.0457,,,
1997-01-28,1.5551,0.4284,2.6818,0.9013,71.0685,,,
1997-02-07,1.6795,0.5577,2.8013,0.9048,71.0932,,,
1997-02-14,0.8095,-0.2813,1.9004,0.8859,71.1051,,,
1997-02-21,2.051,0.9479,3.1541,0.885,71.1352,,,
1997-02-28,1.8039,0.6987,2.9091,0.8872,71.1617,,,
1997-03-07,1.9729,0.8674,3.0784,0.893,71.1907,,,
1997-03-14,1.0913,-0.0024,2.185,0.8722,71.2068,,,
1997-03-21,0.9154,-0.2117,2.0426,0.8755,71.2203,,,
1997-03-28,1.3869,0.2595,2.5143,0.8889,71.2407,0.9583,0.3576,69.6165
1997-04-07,1.4372,0.2966,2.5778,0.9136,71.2619,,,
1997-04-14,1.5407,0.4265,2.6549,0.9491,71.2846,,,
1997-04-21,0.7617,-0.3495,1.873,0.9742,71.2959,,,
1997-04-28,1.1107,-0.0096,2.231,0.9978,71.3123,,,
1997-05-07,0.8435,-0.2788,1.9659,1.0131,71.3248,,,
1997-05-14,-0.0093,-1.089,1.0703,1.021,71.3247,,,
1997-05-21,0.5453,-0.5674,1.6579,1.0291,71.3327,,,
1997-05-28,0.6646,-0.4499,1.7792,1.0315,71.3426,,,
1997-06-07,0.3484,-0.7734,1.4703,1.0207,71.3478,,,
1997-06-14,0.6423,-0.4698,1.7543,1.0118,71.3573,,,
1997-06-21,-0.2924,-1.4162,0.8314,0.97,71.3529,,,
1997-06-28,1.1049,-0.0123,2.2221,0.968,71.3693,0.2834,0.5071,69.7826
1997-07-07,-0.1932,-1.3051,0.9187,0.9467,71.3664,,,
1997-07-14,0.2187,-0.9159,1.3533,0.9251,71.3696,,,
1997-07-21,0.2494,-0.8696,1.3683,0.8982,71.3733,,,
1997-07-28,-0.2518,-1.3573,0.8537,0.8502,71.3696,,,
1997-08-07,0.1662,-0.9562,1.2887,0.8149,71.3721,,,
1997-08-14,0.1014,-1.0327,1.2354,0.7744,71.3736,,,
1997-08-21,1.1088,-0.0281,2.2457,0.7459,71.39,,,
1997-08-28,0.4871,-0.6216,1.5959,0.7177,71.3972,,,
1997-09-07,1.3174,0.183,2.4517,0.6896,71.4167,,,
1997-09-14,1.5648,0.4818,2.6478,0.6807,71.4398,,,
1997-09-21,0.8807,-0.1963,1.9576,0.6794,71.4528,,,
1997-09-28,0.7942,-0.2985,1.8869,0.677,71.4646,1.0437,0.6226,69.832
1997-10-07,0.3259,-0.7672,1.419,0.6616,71.4695,,,
1997-10-14,-0.6603,-1.7891,0.4684,0.6329,71.4596,,,
1997-10-21,0.6796,-0.4629,1.8221,0.6422,71.4697,,,
1997-10-28,1.5896,0.4553,2.724,0.6745,71.4932,,,
1997-11-07,1.5485,0.4193,2.6777,0.6887,71.5161,,,
1997-11-14,0.6547,-0.4263,1.7357,0.7072,71.5258,,,
1997-11-21,0.9839,-0.0919,2.0597,0.7514,71.5404,,,
1997-11-28,0.4272,-0.661,1.5154,0.7901,71.5467,,,
1997-12-07,0.8411,-0.2762,1.9583,0.815,71.5592,,,
1997-12-14,1.3282,0.2255,2.4309,0.8337,71.5789,,,
1997-12-21,1.3534,0.2506,2.4561,0.8595,71.5989,,,
1997-12-28,1.231,0.0918,2.3701,0.8781,71.6172,1.4071,0.747,70.0135
1998-01-07,1.76,0.6224,2.8975,0.897,71.6432,,,
1998-01-14,2.1902,1.0707,3.3096,0.9178,71.6756,,,
1998-01-21,2.1854,1.0921,3.2787,0.9321,71.7079,,,
1998-01-28,1.8808,0.8008,2.9608,0.9389,71.7357,,,
1998-02-07,2.2149,1.1171,3.3127,0.9499,71.7685,,,
1998-02-14,2.0837,0.9796,3.1879,0.9763,71.7993,,,
1998-02-21,2.6625,1.5237,3.8014,0.9889,71.8387,,,
1998-02-28,1.6358,0.5444,2.7272,0.9854,71.863,,,
